Название,Описание,Цена
Сотовый телефон Xiaomi Redmi Note 11 6/128GB синий,"Сотовый телефон Xiaomi Redmi Note 11 6/128GB синийОперационная система Android 11; экран 6.4"" AMOLED 2400х1080 ~90 Гц; процессор Snapdragon 680 x8 core; память 6/128 GB; основная камера 50 mpx (F/1.8); фронтальная камера 13 mpx (F/2.4); аккумулятор 5000...",16260 сом-1%16090 сом
Сотовый телефон Xiaomi Redmi 9C 4/128GB серый,"Сотовый телефон Xiaomi Redmi 9C 4/128GB серыйAndroid 10, поддержка двух SIM-карт, экран 6.53"", разрешение 1600x720, 3 камеры: 13 МП, макро, датчик глубины, процессор MediaTek Helio G35, память 128 ГБ, слот для карты памяти, 3G, 4G LTE,...",11500 сом-2%11330 сом
Сотовый телефон Xiaomi Redmi Note 11 6/128GB голубой,"Сотовый телефон Xiaomi Redmi Note 11 6/128GB голубойОперационная система Android 11; экран 6.4"" AMOLED 2400х1080 ~90 Гц; процессор Snapdragon 680 x8 core; память 6/128 GB; основная камера 50 mpx (F/1.8); фронтальная камера 13 mpx (F/2.4); аккумулятор 5000...",16260 сом-1%16090 сом
Сотовый телефон Xiaomi 12 8/256GB голубой,"Сотовый телефон Xiaomi 12 8/256GB голубойОперационная система Android 12; экран 6.2"" AMOLED 2400х1080 ~120 Гц; процессор Snapdragon 8 x8 core; память 8/256 GB; основная камера 50 mpx (F/1.9); фронтальная камера 32 mpx (F/2.5); аккумулятор 4500...",53900 сом
Сотовый телефон Xiaomi Redmi 10 4/64GB серый,"Сотовый телефон Xiaomi Redmi 10 4/64GB серыйсмартфон на платформе Android 11, поддержка двух SIM-карт, экран 6.5"", разрешение 2400x1080, четыре камеры 50 МП/8 МП/2 МП/2 МП, автофокус, память 64 ГБ, слот для карты памяти, 3G, 4G LTE,...",12800 сом
Сотовый телефон Xiaomi Redmi 10 4/64GB синий,"Сотовый телефон Xiaomi Redmi 10 4/64GB синийсмартфон на платформе Android 11, поддержка двух SIM-карт, экран 6.5"", разрешение 2400x1080, четыре камеры 50 МП/8 МП/2 МП/2 МП, автофокус, память 64 ГБ, слот для карты памяти, 3G, 4G LTE,...",12800 сом
Сотовый телефон Xiaomi Redmi 10 4/64GB белый,"Сотовый телефон Xiaomi Redmi 10 4/64GB белыйсмартфон на платформе Android 11, поддержка двух SIM-карт, экран 6.5"", разрешение 2400x1080, четыре камеры 50 МП/8 МП/2 МП/2 МП, автофокус, память 64 ГБ, слот для карты памяти, 3G, 4G LTE,...",12800 сом
Сотовый телефон Xiaomi Redmi 10C 4/64GB синий,"Сотовый телефон Xiaomi Redmi 10C 4/64GB синийОперационная система Android 11; экран 6.7"" IPS 1650x720 ~60 Гц; процессор Snapdragon 680 x8 core; память 4/64 GB; основная камера 50 mpx (F/1.8); фронтальная камера 5 mpx (F/2.2); аккумулятор 5000...",11850 сом-3%11500 сом
Сотовый телефон Xiaomi Redmi 10C 4/64GB серый,"Сотовый телефон Xiaomi Redmi 10C 4/64GB серыйОперационная система Android 11; экран 6.7"" IPS 1650x720 ~60 Гц; процессор Snapdragon 680 x8 core; память 4/64 GB; основная камера 50 mpx (F/1.8); фронтальная камера 5 mpx (F/2.2); аккумулятор 5000...",11850 сом-3%11500 сом
Сотовый телефон Apple iPhone 11 64GB фиолетовый,"Сотовый телефон Apple iPhone 11 64GB фиолетовыйсмартфон с iOS 13, поддержка двух SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 1792x828, двойная камера 12 МП/12 МП, автофокус, память 64 Гб, без слота для карт памяти, 3G, 4G LTE,...",49560 сом-10%44550 сом
Сотовый телефон Xiaomi Redmi Note 11S 6/64GB серый,"Сотовый телефон Xiaomi Redmi Note 11S 6/64GB серыйОперационная система Android 11; экран 6.4"" AMOLED 2400х1080 ~90 Гц; процессор Mediatek Helio G96 x8 core; память 6/64 GB; основная камера 108 mpx (F/1.9), фронтальная камера 16 mpx (F/2.4); аккумулятор...",17130 сом
Сотовый телефон Apple iPhone 11 64GB зеленый,"Сотовый телефон Apple iPhone 11 64GB зеленыйсмартфон с iOS 13, поддержка двух SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 1792x828, двойная камера 12 МП/12 МП, автофокус, память 64 Гб, без слота для карт памяти, 3G, 4G LTE,...",49560 сом-10%44550 сом
Сотовый телефон Apple iPhone 11 64GB желтый,"Сотовый телефон Apple iPhone 11 64GB желтыйсмартфон с iOS 13, поддержка двух SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 1792x828, двойная камера 12 МП/12 МП, автофокус, память 64 Гб, без слота для карт памяти, 3G, 4G LTE,...",49560 сом-10%44550 сом
Сотовый телефон Apple iPhone 11 64GB белый,"Сотовый телефон Apple iPhone 11 64GB белыйсмартфон с iOS 13, поддержка двух SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 1792x828, двойная камера 12 МП/12 МП, автофокус, память 64 Гб, без слота для карт памяти, 3G, 4G LTE,...",49560 сом-10%44550 сом
Сотовый телефон Apple iPhone 11 64GB красный,"Сотовый телефон Apple iPhone 11 64GB красныйсмартфон с iOS 13, поддержка двух SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 1792x828, двойная камера 12 МП/12 МП, автофокус, память 64 Гб, без слота для карт памяти, 3G, 4G LTE,...",49560 сом-10%44550 сом
Сотовый телефон Samsung Galaxy A73 5G 8/128GB серый,"Сотовый телефон Samsung Galaxy A73 5G 8/128GB серыйОперационная система Android 12; экран 6.7"" AMOLED 2400х1080~120 Гц; процессор Snapdragon 778G 2400Mhz, x8 core; память 8/128 GB; основная камера 108 mpx (F/1.8) OIS; фронтальная камера 32 mpx (F/2.2); аккумулятор...",35900 сом
Сотовый телефон Samsung Galaxy A73 5G 8/128GB мятный,"Сотовый телефон Samsung Galaxy A73 5G 8/128GB мятныйОперационная система Android 12; экран 6.7"" AMOLED 2400х1080~120 Гц; процессор Snapdragon 778G 2400Mhz, x8 core; память 8/128 GB; основная камера 108 mpx (F/1.8) OIS; фронтальная камера 32 mpx (F/2.2); аккумулятор...",35900 сом
Сотовый телефон Samsung Galaxy A73 5G 8/128GB белый,"Сотовый телефон Samsung Galaxy A73 5G 8/128GB белыйОперационная система Android 12; экран 6.7"" AMOLED 2400х1080~120 Гц; процессор Snapdragon 778G 2400Mhz, x8 core; память 8/128 GB; основная камера 108 mpx (F/1.8) OIS; фронтальная камера 32 mpx (F/2.2); аккумулятор...",35900 сом
Сотовый телефон Samsung Galaxy A23 4/64GB голубой,"Сотовый телефон Samsung Galaxy A23 4/64GB голубойОперационная система Android 12; экран 6.6"" PLS 2408х1080 ~90 Гц; процессор Qualcomm Snapdragon 680 x8 core; память 4/64 GB; основная камера 50 mpx (F/1.8); фронтальная камера 8 mpx (F/2.2); аккумулятор...",16780 сом-7%15660 сом
Сотовый телефон Samsung Galaxy A23 4/64GB персиковый,"Сотовый телефон Samsung Galaxy A23 4/64GB персиковыйОперационная система Android 12; экран 6.6"" PLS 2408х1080 ~90 Гц; процессор Qualcomm Snapdragon 680 x8 core; память 4/64 GB; основная камера 50 mpx (F/1.8); фронтальная камера 8 mpx (F/2.2); аккумулятор...",16780 сом-7%15660 сом
Сотовый телефон Samsung Galaxy A23 4/64GB белый,"Сотовый телефон Samsung Galaxy A23 4/64GB белыйОперационная система Android 12; экран 6.6"" PLS 2408х1080 ~90 Гц; процессор Qualcomm Snapdragon 680 x8 core; память 4/64 GB; основная камера 50 mpx (F/1.8); фронтальная камера 8 mpx (F/2.2); аккумулятор...",16780 сом-7%15660 сом
Сотовый телефон Samsung Galaxy A23 4/64GB черный,"Сотовый телефон Samsung Galaxy A23 4/64GB черныйОперационная система Android 12; экран 6.6"" PLS 2408х1080 ~90 Гц; процессор Qualcomm Snapdragon 680 x8 core; память 4/64 GB; основная камера 50 mpx (F/1.8); фронтальная камера 8 mpx (F/2.2); аккумулятор...",16780 сом-7%15660 сом
Сотовый телефон Apple iPhone 13 Pro Max 1TB зеленый,"Сотовый телефон Apple iPhone 13 Pro Max 1TB зеленыйОперационная система Apple iOS 15; экран 6.7"" OLED 2778x1284 ~120 Гц; процессор Apple A15 Bionic x6 core; память 6/1024 GB; основная камера 12 mpx (F/1.5); фронтальная камера 12 mpx (F/2.2);...",154920 сом-2%152330 сом
Сотовый телефон Samsung Galaxy A33 5G 6/128GB черный,"Сотовый телефон Samsung Galaxy A33 5G 6/128GB черныйОперационная система Android 12; экран 6.4"" AMOLED  2400x1080 ~90 Гц; процессор Samsung Exynos 1280 x8 core; память 6/128 GB; основная камера 48 mpx (F/1.8); фронтальная камера 13 mpx (F/2.2); аккумулятор...",22840 сом
Сотовый телефон Samsung Galaxy A33 5G 6/128GB голубой,"Сотовый телефон Samsung Galaxy A33 5G 6/128GB голубойОперационная система Android 12; экран 6.4"" AMOLED  2400x1080 ~90 Гц; процессор Samsung Exynos 1280 x8 core; память 6/128 GB; основная камера 48 mpx (F/1.8); фронтальная камера 13 mpx (F/2.2); аккумулятор...",22840 сом
Сотовый телефон Samsung Galaxy A33 5G 6/128GB персиковый,"Сотовый телефон Samsung Galaxy A33 5G 6/128GB персиковыйОперационная система Android 12; экран 6.4"" AMOLED  2400x1080 ~90 Гц; процессор Samsung Exynos 1280 x8 core; память 6/128 GB; основная камера 48 mpx (F/1.8); фронтальная камера 13 mpx (F/2.2); аккумулятор...",22840 сом
Сотовый телефон Samsung Galaxy A33 5G 6/128GB белый,"Сотовый телефон Samsung Galaxy A33 5G 6/128GB белыйОперационная система Android 12; экран 6.4"" AMOLED  2400x1080 ~90 Гц; процессор Samsung Exynos 1280 x8 core; память 6/128 GB; основная камера 48 mpx (F/1.8); фронтальная камера 13 mpx (F/2.2); аккумулятор...",22840 сом
Сотовый телефон Samsung Galaxy A53 5G 8/128GB черный,"Сотовый телефон Samsung Galaxy A53 5G 8/128GB черныйОперационная система Android 12; экран 6.5"" AMOLED 2400х1080 ~120 Гц; процессор Exynos 1280 x8 core; память 8/128 GB; основная камера 64 mpx (F/1.8); фронтальная камера 32 mpx (F/2.2); аккумулятор 5000...",29150 сом
Сотовый телефон Samsung Galaxy A53 5G 8/128GB белый,"Сотовый телефон Samsung Galaxy A53 5G 8/128GB белыйОперационная система Android 12; экран 6.5"" AMOLED 2400х1080 ~120 Гц; процессор Exynos 1280 x8 core; память 8/128 GB; основная камера 64 mpx (F/1.8); фронтальная камера 32 mpx (F/2.2); аккумулятор 5000...",29150 сом
Сотовый телефон Samsung Galaxy A53 5G 8/128GB персиковый,"Сотовый телефон Samsung Galaxy A53 5G 8/128GB персиковыйОперационная система Android 12; экран 6.5"" AMOLED 2400х1080 ~120 Гц; процессор Exynos 1280 x8 core; память 8/128 GB; основная камера 64 mpx (F/1.8); фронтальная камера 32 mpx (F/2.2); аккумулятор 5000...",29150 сом
Сотовый телефон Samsung Galaxy A53 5G 8/128GB голубой,"Сотовый телефон Samsung Galaxy A53 5G 8/128GB голубойОперационная система Android 12; экран 6.5"" AMOLED 2400х1080 ~120 Гц; процессор Exynos 1280 x8 core; память 8/128 GB; основная камера 64 mpx (F/1.8); фронтальная камера 32 mpx (F/2.2); аккумулятор 5000...",29150 сом
Сотовый телефон Apple iPhone 13 Pro 128GB зеленый,"Сотовый телефон Apple iPhone 13 Pro 128GB зеленыйОперационная система Apple iOS 15; экран 6.1"" OLED 2532x1170 ~120 Гц; процессор Apple A15 Bionic x6 core; память 6/128 GB; основная камера 12 mpx (F/1.5); фронтальная камера 12 mpx (F/2.2);...",95060 сом-1%93770 сом
Сотовый телефон Apple iPhone 13 Pro Max 128GB зеленый,"Сотовый телефон Apple iPhone 13 Pro Max 128GB зеленыйОперационная система Apple iOS 15; экран 6.7"" OLED 2778x1284 ~120 Гц; процессор Apple A15 Bionic x6 core; память 6/128 GB; основная камера 12 mpx (F/1.5); фронтальная камера 12 mpx (F/2.2);...",103020 сом
Сотовый телефон Xiaomi 12 8/256GB серый,"Сотовый телефон Xiaomi 12 8/256GB серыйОперационная система Android 12; экран 6.2"" AMOLED 2400х1080 ~120 Гц; процессор Snapdragon 8 x8 core; память 8/256 GB; основная камера 50 mpx (F/1.9); фронтальная камера 32 mpx (F/2.5); аккумулятор 4500...",53900 сом
Сотовый телефон Xiaomi 12 8/256GB фиолетовый,"Сотовый телефон Xiaomi 12 8/256GB фиолетовыйОперационная система Android 12; экран 6.2"" AMOLED 2400х1080 ~120 Гц; процессор Snapdragon 8 x8 core; память 8/256 GB; основная камера 50 mpx (F/1.9); фронтальная камера 32 mpx (F/2.5); аккумулятор 4500...",53900 сом
Сотовый телефон Xiaomi Redmi 9A 2/32GB зеленый,"Сотовый телефон Xiaomi Redmi 9A 2/32GB зеленыйсмартфон с Android 10, поддержка двух SIM-карт, экран 6.53"", разрешение 1600x720, камера 13 МП, автофокус, память 32 ГБ, слот для карты памяти, 3G, 4G LTE, Wi-Fi, Bluetooth, объем оперативной памяти...",8480 сом-2%8300 сом
Сотовый телефон Samsung Galaxy S22 Ultra 8/128GB белый,"Сотовый телефон Samsung Galaxy S22 Ultra 8/128GB белыйОперационная система Android 12; экран 6.8"" AMOLED 3088х1440 ~120 Гц; процессор Exynos 2200 x8 core; память 8/128 GB; основная камера 108 mpx (F/1.8); фронтальная камера 40 mpx (F/2.2); аккумулятор 5000...",89700 сом-2%88240 сом
Сотовый телефон Samsung Galaxy S22 Ultra 8/128GB черный,"Сотовый телефон Samsung Galaxy S22 Ultra 8/128GB черныйОперационная система Android 12; экран 6.8"" AMOLED 3088х1440 ~120 Гц; процессор Exynos 2200 x8 core; память 8/128 GB; основная камера 108 mpx (F/1.8); фронтальная камера 40 mpx (F/2.2); аккумулятор 5000...",89700 сом-2%88240 сом
Сотовый телефон Samsung Galaxy S22 Ultra 8/128GB фиолетовый,"Сотовый телефон Samsung Galaxy S22 Ultra 8/128GB фиолетовыйОперационная система Android 12; экран 6.8"" AMOLED 3088х1440 ~120 Гц; процессор Exynos 2200 x8 core; память 8/128 GB; основная камера 108 mpx (F/1.8); фронтальная камера 40 mpx (F/2.2); аккумулятор 5000...",89700 сом-2%88240 сом
Сотовый телефон Samsung Galaxy S22 Ultra 8/128GB зеленый,"Сотовый телефон Samsung Galaxy S22 Ultra 8/128GB зеленыйОперационная система Android 12; экран 6.8"" AMOLED 3088х1440 ~120 Гц; процессор Exynos 2200 x8 core; память 8/128 GB; основная камера 108 mpx (F/1.8); фронтальная камера 40 mpx (F/2.2); аккумулятор 5000...",89700 сом-2%88240 сом
Сотовый телефон Samsung Galaxy S22 Ultra 8/128GB серый,"Сотовый телефон Samsung Galaxy S22 Ultra 8/128GB серыйОперационная система Android 12; экран 6.8"" AMOLED 3088х1440 ~120 Гц; процессор Exynos 2200 x8 core; память 8/128 GB; основная камера 108 mpx (F/1.8); фронтальная камера 40 mpx (F/2.2); аккумулятор 5000...",89700 сом-2%88240 сом
Сотовый телефон Samsung Galaxy S22 Ultra 8/128GB красный,"Сотовый телефон Samsung Galaxy S22 Ultra 8/128GB красныйОперационная система Android 12; экран 6.8"" AMOLED 3088х1440 ~120 Гц; процессор Exynos 2200 x8 core; память 8/128 GB; основная камера 108 mpx (F/1.8); фронтальная камера 40 mpx (F/2.2); аккумулятор 5000...",89700 сом-2%88240 сом
Сотовый телефон Samsung Galaxy S22 Ultra 8/128GB голубой,"Сотовый телефон Samsung Galaxy S22 Ultra 8/128GB голубойОперационная система Android 12; экран 6.8"" AMOLED 3088х1440 ~120 Гц; процессор Exynos 2200 x8 core; память 8/128 GB; основная камера 108 mpx (F/1.8); фронтальная камера 40 mpx (F/2.2); аккумулятор 5000...",89700 сом-2%88240 сом
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB черный,"Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB черныйОперационная система Android 12; экран 6.8"" AMOLED 3088х1440 ~120 Гц; процессор Exynos 2200 x8 core; память 12/256 GB; основная камера 108 mpx (F/1.8); фронтальная камера 40 mpx (F/2.2); аккумулятор 5000...",96890 сом-6%91080 сом
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB белый,"Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB белыйОперационная система Android 12; экран 6.8"" AMOLED 3088х1440 ~120 Гц; процессор Exynos 2200 x8 core; память 12/256 GB; основная камера 108 mpx (F/1.8); фронтальная камера 40 mpx (F/2.2); аккумулятор 5000...",96890 сом-6%91080 сом
Сотовый телефон Apple iPhone 13 Pro 128GB графитовый,"Сотовый телефон Apple iPhone 13 Pro 128GB графитовыйiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 128 ГБ, без слота...",95060 сом-1%93770 сом
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB фиолетовый,"Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB фиолетовыйОперационная система Android 12; экран 6.8"" AMOLED 3088х1440 ~120 Гц; процессор Exynos 2200 x8 core; память 12/256 GB; основная камера 108 mpx (F/1.8); фронтальная камера 40 mpx (F/2.2); аккумулятор 5000...",96890 сом-6%91080 сом
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB зеленый,"Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB зеленыйОперационная система Android 12; экран 6.8"" AMOLED 3088х1440 ~120 Гц; процессор Exynos 2200 x8 core; память 12/256 GB; основная камера 108 mpx (F/1.8); фронтальная камера 40 mpx (F/2.2); аккумулятор 5000...",96890 сом-6%91080 сом
