Название,Описание,Цена
Сотовый телефон Apple iPhone 13 Pro 512GB графитовый,"Сотовый телефон Apple iPhone 13 Pro 512GB графитовыйiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 512 ГБ, без слота...",123000 сом
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB серый,"Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB серыйОперационная система Android 12; экран 6.8"" AMOLED 3088х1440 ~120 Гц; процессор Exynos 2200 x8 core; память 12/256 GB; основная камера 108 mpx (F/1.8); фронтальная камера 40 mpx (F/2.2); аккумулятор 5000...",96890 сом-6%91080 сом
Сотовый телефон Apple iPhone 13 Pro 1TB графитовый,"Сотовый телефон Apple iPhone 13 Pro 1TB графитовыйiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 1024 ГБ, без слота...",132090 сом-5%125420 сом
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB красный,"Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB красныйОперационная система Android 12; экран 6.8"" AMOLED 3088х1440 ~120 Гц; процессор Exynos 2200 x8 core; память 12/256 GB; основная камера 108 mpx (F/1.8); фронтальная камера 40 mpx (F/2.2); аккумулятор 5000...",96890 сом-6%91080 сом
Сотовый телефон Apple iPhone 13 Pro 128GB синий,"Сотовый телефон Apple iPhone 13 Pro 128GB синийiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 128 ГБ, без слота...",95060 сом-1%93770 сом
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB голубой,"Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB голубойОперационная система Android 12; экран 6.8"" AMOLED 3088х1440 ~120 Гц; процессор Exynos 2200 x8 core; память 12/256 GB; основная камера 108 mpx (F/1.8); фронтальная камера 40 mpx (F/2.2); аккумулятор 5000...",96890 сом-6%91080 сом
Сотовый телефон Xiaomi Redmi Note 11 Pro 4G 6/128GB серый,"Сотовый телефон Xiaomi Redmi Note 11 Pro 4G 6/128GB серыйОперационная система Android 11; экран 6.6"" AMOLED 2400х1080 ~120 Гц; процессор Mediatek Helio G96 x8 core; память 6/128 GB; основная камера 108 mpx (F/1.9); фронтальная камера 16 mpx (F/2.4); аккумулятор...",20330 сом-1%20070 сом
Сотовый телефон Apple iPhone 13 Pro 1TB синий,"Сотовый телефон Apple iPhone 13 Pro 1TB синийiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 1024 ГБ, без слота...",132090 сом-5%125420 сом
Сотовый телефон Apple iPhone 13 Pro 128GB золотой,"Сотовый телефон Apple iPhone 13 Pro 128GB золотойiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 128 ГБ, без слота...",95060 сом-1%93770 сом
Сотовый телефон Apple iPhone 13 Pro 512GB золотой,"Сотовый телефон Apple iPhone 13 Pro 512GB золотойiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 512 ГБ, без слота...",123000 сом
Сотовый телефон Apple iPhone 13 Pro 1TB золотой,"Сотовый телефон Apple iPhone 13 Pro 1TB золотойiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 1024 ГБ, без слота...",132090 сом-5%125420 сом
Сотовый телефон Apple iPhone 13 Pro 128GB серебристый,"Сотовый телефон Apple iPhone 13 Pro 128GB серебристыйiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 128 ГБ, без слота...",95060 сом-1%93770 сом
Сотовый телефон Xiaomi Poco F4 GT 5G 12/256GB черный,"Сотовый телефон Xiaomi Poco F4 GT 5G 12/256GB черныйAndroid 12; экран 6.6"" AMOLED; процессор Snapdragon 8; память 12/256 GB; основная камера 64 mpx (F/1.9); фронтальная камера 20 mpx; аккумулятор 4700 mAh; поддержка сетей 5G",42990 сом
Сотовый телефон Nokia 125 Dual Sim,"Сотовый телефон Nokia 125 Dual Simэкран: 2.4"", память: 4 МБ, аккумулятор: 1020 мА·ч, SIM-карты: 2 (обычная), вес: 91 г",4150 сом
Сотовый телефон Realme C21Y 4/64GB голубой,"Сотовый телефон Realme C21Y 4/64GB голубойэкран: 6.5"" (1600x720), встроенная память: 64 ГБ, оперативная память: 4 ГБ, 3 камеры: 13 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, SIM-карты: 2 (nano SIM), операционная система: Android 11,...",10210 сом
Сотовый телефон Xiaomi Poco F4 GT 5G 12/256GB серебристый,"Сотовый телефон Xiaomi Poco F4 GT 5G 12/256GB серебристыйAndroid 12; экран 6.6"" AMOLED; процессор Snapdragon 8; память 12/256 GB; основная камера 64 mpx (F/1.9); фронтальная камера 20 mpx; аккумулятор 4700 mAh; поддержка сетей 5G",42990 сом
Сотовый телефон Tecno Spark 8P 4/128GB голубой,"Сотовый телефон Tecno Spark 8P 4/128GB голубойОперационная система Android 11; экран 6.6"" IPS 2408х1080 ~60 Гц; процессор Mediatek Helio G70 x8 core; память 4/128 GB; основная камера 50 mpx (F/1.6); фронтальная камера 8 mpx (F/2.0); аккумулятор...",13850 сом
Сотовый телефон Xiaomi Poco X4 Pro 6/128GB желтый,"Сотовый телефон Xiaomi Poco X4 Pro 6/128GB желтыйОперационная система Android 11; экран 6.6"" AMOLED 2400х1080 ~120 Гц; процессор Snapdragon 695 x8 core; память 6/128 GB; основная камера 108 mpx (F/1.9); фронтальная камера 16 mpx (F/2.4); аккумулятор 5000...",22500 сом
Сотовый телефон Xiaomi Poco F4 GT 5G 12/256GB желтый,"Сотовый телефон Xiaomi Poco F4 GT 5G 12/256GB желтыйAndroid 12; экран 6.6"" AMOLED; процессор Snapdragon 8; память 12/256 GB; основная камера 64 mpx (F/1.9); фронтальная камера 20 mpx; аккумулятор 4700 mAh; поддержка сетей 5G",42990 сом
Сотовый телефон Tecno Spark 8P 4/128GB синий,"Сотовый телефон Tecno Spark 8P 4/128GB синийОперационная система Android 11; экран 6.6"" IPS 2408х1080 ~60 Гц; процессор Mediatek Helio G70 x8 core; память 4/128 GB; основная камера 50 mpx (F/1.6); фронтальная камера 8 mpx (F/2.0); аккумулятор...",13850 сом
Сотовый телефон Tecno Spark 8P 4/128GB какао голд,"Сотовый телефон Tecno Spark 8P 4/128GB какао голдОперационная система Android 11; экран 6.6"" IPS 2408х1080 ~60 Гц; процессор Mediatek Helio G70 x8 core; память 4/128 GB; основная камера 50 mpx (F/1.6); фронтальная камера 8 mpx (F/2.0); аккумулятор...",13850 сом
Сотовый телефон Samsung Galaxy M12 4/64GB (SM-M127F) зеленый,"Сотовый телефон Samsung Galaxy M12 4/64GB (SM-M127F) зеленыйэкран: 6.5"" (1600x720), оперативная память: 4 ГБ, память: 64 ГБ, слот для карты памяти, 4 камеры: 48 МП, 5 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, процессор: Samsung Exynos...",12120 сом
Сотовый телефон Tecno Spark 8P 4/128GB фиолетовый,"Сотовый телефон Tecno Spark 8P 4/128GB фиолетовыйОперационная система Android 11; экран 6.6"" IPS 2408х1080 ~60 Гц; процессор Mediatek Helio G70 x8 core; память 4/128 GB; основная камера 50 mpx (F/1.6); фронтальная камера 8 mpx (F/2.0); аккумулятор...",13850 сом
Сотовый телефон Samsung Galaxy M12 4/64GB (SM-M127F) голубой,"Сотовый телефон Samsung Galaxy M12 4/64GB (SM-M127F) голубойэкран: 6.5"" (1600x720), оперативная память: 4 ГБ, память: 64 ГБ, слот для карты памяти, 4 камеры: 48 МП, 5 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, процессор: Samsung Exynos...",12120 сом
Сотовый телефон Xiaomi Mi 11 Lite 5G 8/128GB желтый,"Сотовый телефон Xiaomi Mi 11 Lite 5G 8/128GB желтыйэкран: 6.55"" (2400x1080) 90 Гц, оперативная память: 8 ГБ, память: 128 ГБ, слот для карты памяти, 3 камеры: 64 МП, 8 МП, 5 МП, аккумулятор: 4250 мА·ч, процессор: Qualcomm Snapdragon...",23100 сом
Сотовый телефон Xiaomi Mi 11 Lite 5G 8/128GB мятный,"Сотовый телефон Xiaomi Mi 11 Lite 5G 8/128GB мятныйэкран: 6.55"" (2400x1080) 90 Гц, оперативная память: 8 ГБ, память: 128 ГБ, слот для карты памяти, 3 камеры: 64 МП, 8 МП, 5 МП, аккумулятор: 4250 мА·ч, процессор: Qualcomm Snapdragon...",23100 сом
Сотовый телефон Xiaomi Poco X3 Pro 8/256GB черный,"Сотовый телефон Xiaomi Poco X3 Pro 8/256GB черныйэкран: 6.67"" (2400x1080) 120 Гц, оперативная память: 8 ГБ, память: 256 ГБ, слот для карты памяти, 4 камеры: 48 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 5160 мА·ч, процессор:...",27160 сом-3%26300 сом
Сотовый телефон Apple iPhone 13 Pro Max 256GB зеленый,"Сотовый телефон Apple iPhone 13 Pro Max 256GB зеленыйОперационная система Apple iOS 15; экран 6.7"" OLED 2778x1284 ~120 Гц; процессор Apple A15 Bionic x6 core; память 6/256 GB; основная камера 12 mpx (F/1.5); фронтальная камера 12 mpx (F/2.2);...",112720 сом
Сотовый телефон Xiaomi Redmi Note 11S 6/128GB синий,"Сотовый телефон Xiaomi Redmi Note 11S 6/128GB синийОперационная система Android 11; экран 6.4"" AMOLED 2400х1080 ~90 Гц; процессор Mediatek Helio G96 x8 core; память 6/128 GB; основная камера 108 mpx (F/1.9), фронтальная камера 16 mpx (F/2.4); аккумулятор...",18160 сом-1%17910 сом
Сотовый телефон Apple iPhone 13 Pro 256GB зеленый,"Сотовый телефон Apple iPhone 13 Pro 256GB зеленыйОперационная система Apple iOS 15; экран 6.1"" OLED 2532x1170 ~120 Гц; процессор Apple A15 Bionic x6 core; память 6/256 GB; основная камера 12 mpx (F/1.5); фронтальная камера 12 mpx (F/2.2);...",103890 сом
Сотовый телефон Apple iPhone 11 128GB фиолетовый,"Сотовый телефон Apple iPhone 11 128GB фиолетовыйсмартфон с iOS 13, поддержка двух SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 1792x828, двойная камера 12 МП/12 МП, автофокус, память 128 Гб, без слота для карт памяти, 3G, 4G LTE,...",52170 сом
Сотовый телефон Samsung Galaxy A22 (2021) 128GB (SM-A225F/DS) белый,"Сотовый телефон Samsung Galaxy A22 (2021) 128GB (SM-A225F/DS) белыйэкран: 6.4"" (1600x720) 90 Гц, оперативная память: 4 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 48 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, SIM-карты:...",17310 сом
Сотовый телефон Tecno Spark 7 4/64GB синий,"Сотовый телефон Tecno Spark 7 4/64GB синийОперационная система Android 11; экран 6.5"" IPS 1600x720~60 Гц; процессор Mediatek Helio A25 x8 core; память 4/64 GB; основная камера 16 mpx; фронтальная камера 8 mpx; аккумулятор 6000 mAh; dual...",12020 сом
Сотовый телефон Samsung Galaxy A12 (2021) 3/32GB (SM-A125F/DS) белый,"Сотовый телефон Samsung Galaxy A12 (2021) 3/32GB (SM-A125F/DS) белыйэкран: 6.5"" (1600x720), оперативная память: 3 ГБ, память: 32 ГБ, слот для карты памяти, 4 камеры: 48 МП, 5 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, процессор: MediaTek Helio...",12020 сом
Сотовый телефон Samsung Galaxy A22 (2021) 64GB (SM-A225F/DS) мятный,"Сотовый телефон Samsung Galaxy A22 (2021) 64GB (SM-A225F/DS) мятныйэкран: 6.4"" (1600x720) 90 Гц, оперативная память: 4 ГБ, память: 64 ГБ, слот для карты памяти, 4 камеры: 48 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, SIM-карты:...",14360 сом
Сотовый телефон Tecno Spark 7 4/64GB зеленый,"Сотовый телефон Tecno Spark 7 4/64GB зеленыйОперационная система Android 11; экран 6.5"" IPS 1600x720~60 Гц; процессор Mediatek Helio A25 x8 core; память 4/64 GB; основная камера 16 mpx; фронтальная камера 8 mpx; аккумулятор 6000 mAh; dual...",12020 сом
Сотовый телефон Samsung Galaxy A12 (2021) 4/64GB (SM-A125F/DS) белый,"Сотовый телефон Samsung Galaxy A12 (2021) 4/64GB (SM-A125F/DS) белыйэкран: 6.5"" (1600x720), оперативная память: 4 ГБ, память: 64 ГБ, слот для карты памяти, 4 камеры: 48 МП, 5 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, процессор: MediaTek Helio...",13320 сом
Сотовый телефон Samsung Galaxy A22 (2021) 64GB (SM-A225F/DS) белый,"Сотовый телефон Samsung Galaxy A22 (2021) 64GB (SM-A225F/DS) белыйэкран: 6.4"" (1600x720) 90 Гц, оперативная память: 4 ГБ, память: 64 ГБ, слот для карты памяти, 4 камеры: 48 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, SIM-карты:...",14360 сом
Сотовый телефон Tecno Spark 7 4/64GB черный,"Сотовый телефон Tecno Spark 7 4/64GB черныйОперационная система Android 11; экран 6.5"" IPS 1600x720~60 Гц; процессор Mediatek Helio A25 x8 core; память 4/64 GB; основная камера 16 mpx; фронтальная камера 8 mpx; аккумулятор 6000 mAh; dual...",12020 сом
Сотовый телефон Samsung Galaxy A12 (2021) 4/128GB (SM-A125F/DS) белый,"Сотовый телефон Samsung Galaxy A12 (2021) 4/128GB (SM-A125F/DS) белыйэкран: 6.5"" (1600x720), оперативная память: 4 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 48 МП, 5 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, процессор: MediaTek Helio...",14360 сом
Сотовый телефон Xiaomi Redmi Note 10S 6/128GB белый,"Сотовый телефон Xiaomi Redmi Note 10S 6/128GB белыйэкран: 6.43"" (2400x1080), оперативная память: 6 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, процессор: MediaTek Helio...",16090 сом
Сотовый телефон Samsung Galaxy A03s (2021) 4/64GB (SM-A037F/DS) черный,"Сотовый телефон Samsung Galaxy A03s (2021) 4/64GB (SM-A037F/DS) черныйэкран: 6.5"" (1600x720), встроенная память: 64 ГБ, оперативная память: 4 ГБ, 3 камеры: 13 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, процессор: MediaTek Helio P35 (MT6765), SIM-карты: 2 (nano...",11500 сом
Сотовый телефон Samsung Galaxy A13 4G 4/128GB черный,"Сотовый телефон Samsung Galaxy A13 4G 4/128GB черныйОперационная система Android 12; экран 6.6"" PLS 2408х1080 ~60 Гц; процессор Samsung Exynos 850 x8 core; память 4/128 GB; основная камера 50 mpx (F/1.8); фронтальная камера 8 mpx (F/2.2); аккумулятор...",14960 сом
Сотовый телефон Xiaomi Redmi Note 10S 6/128GB черный,"Сотовый телефон Xiaomi Redmi Note 10S 6/128GB черныйэкран: 6.43"" (2400x1080), оперативная память: 6 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, процессор: MediaTek Helio...",17130 сом-6%16180 сом
Сотовый телефон Samsung Galaxy A03s (2021) 4/64GB (SM-A037F/DS) синий,"Сотовый телефон Samsung Galaxy A03s (2021) 4/64GB (SM-A037F/DS) синийэкран: 6.5"" (1600x720), встроенная память: 64 ГБ, оперативная память: 4 ГБ, 3 камеры: 13 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, процессор: MediaTek Helio P35 (MT6765), SIM-карты: 2 (nano...",11500 сом
Сотовый телефон Samsung Galaxy A13 4G 3/32GB голубой,"Сотовый телефон Samsung Galaxy A13 4G 3/32GB голубойОперационная система Android 12; экран 6.6"" PLS 2408х1080 ~60 Гц; процессор Samsung Exynos 850 x8 core; память 3/32 GB; основная камера 50 mpx (F/1.8); фронтальная камера 8 mpx (F/2.2); аккумулятор...",13580 сом
Сотовый телефон Samsung Galaxy A03s (2021) 4/64GB (SM-A037F/DS) белый,"Сотовый телефон Samsung Galaxy A03s (2021) 4/64GB (SM-A037F/DS) белыйэкран: 6.5"" (1600x720), встроенная память: 64 ГБ, оперативная память: 4 ГБ, 3 камеры: 13 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, процессор: MediaTek Helio P35 (MT6765), SIM-карты: 2 (nano...",11500 сом
Сотовый телефон Samsung Galaxy A13 4G 3/32GB черный,"Сотовый телефон Samsung Galaxy A13 4G 3/32GB черныйAndroid 12; экран 6.6"" PLS; процессор Samsung Exynos 850; память 3/32 GB; фронтальная камера 8 mpx; основная камера 50 mpx (F/1.8); аккумулятор 5000 mAh; поддержка сетей 4G",13580 сом
Сотовый телефон Samsung Galaxy M32 6/128GB (SM-M325F) голубой,"Сотовый телефон Samsung Galaxy M32 6/128GB (SM-M325F) голубойэкран: 6.4"" (2400x1080) 90 Гц, оперативная память: 6 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, процессор:...",16180 сом
Сотовый телефон Realme C21Y 4/64GB черный,"Сотовый телефон Realme C21Y 4/64GB черныйэкран: 6.5"" (1600x720), встроенная память: 64 ГБ, оперативная память: 4 ГБ, 3 камеры: 13 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, SIM-карты: 2 (nano SIM), операционная система: Android 11,...",10210 сом
